idx,questions,choices,labels
4945,"After a while playing, what was happening to the children?",fights|competitiveness|having fun|getting tired|learning,3
4946,WHat do you use to recording something?,recorder|tape|i would write it on paper if possible..|documentation of facts|spell checker,0
4947,"The sloth was very muscular, but he couldn't compete in the contest because it had a humans only rule.  What contest was the sloth trying to enter?",universe|dictionary|global|commercial|countryside,0
4948,What do you put around a garden to keep animals out?,park|fence|ground|vines|full bloom,1
4949,HOw do you watch film before its on video?,wear contact lenses|go to movies|open eyes|have eyes|rent one,1
4950,"If you're relaxing with friends and you agree with one but not the other, what have you done?",keep secrets|side with|hang out|lying|talking about,1
4951,When we judge people what do we tend to do to them?,alienate|gather information|condemn or condone|talk about them|gather facts,0
4952,"Sammy wanted to preserve the wallpaper, but it was wet and had already begun to do what?",decay|ruin|throw away|destroy|waste,0
4953,The largest train stations are in what areas?,in a ocean|big city|bums|europe|downtown area,1
4954,"She was worried about driving car, she was worried what might flare up during a long drive?",michigan|car crash|automobile accidents|backache|getting tired,3
4955,Where would you get nails if you do not have any?,store|supermarket|jar|container|cabinet,0
4956,To where do apple trees drop their fruit?,the ground|outside|park|ground|uzbekistan,3
4957,A saltshaker is often used with what container for lipids?,kitchen cupboard|cabinet|cruet|teaspoon|table setting,2
4958,John stood in the courtyard and watched the bulls.  Where might he have been?,lawn|spain|tv room|versailles|english countryhouse,1
4959,What is likely to be filled with noxious water?,swamp|perfume|carafe|fountain|ocean,0
4960,Where would you put a tote bag while you are getting some food?,between two legs|house|store called target|school|shopping cart,4
4961,Hammers are made of metal and what other item?,softness|plastic|stone|wooden|toolbox,3
4962,"He seemed to be putting too much stock in the date, even though it wasn't shaggy he went to what?",wait for|dress nice|go for haircut|bathe|shave,2
4963,"As they skipped stones, where were they looking for new ones?",driveway|gallbladder|river bed|quarry|creek bed,2
4964,"A person, cannot afford their home, they are likely to be experiencing what?",schizophrenia|deception|live in poverty|bad feelings|wealth,2
4965,"My friend makes a living playing trumpet, where might he work?",music shop|brass band|horn|high school band|orchestra,4
4966,What stadium is there where men once fought with spears?,rome|college town|playing sports|large city|hold concert,0
4967,If you've been standing in queue for a long time you may develop some what?,will have to wait|daydreaming|impatience|angry|become impatient,2
4968,Where would you find an anemone off the eastern U.S.?,game preserve|intertidal zone|atlantic ocean|south pacific|sea water,2
4969,"They enjoyed the stories their uncle told, he was the eldest and the closest living connection to the what?",aunts house|aunt's house|books|most families|older generation,4
4970,Talking to someone is pointless if they're doing what?,dry mouth|whispering|being heard|eye contact|not listening,4
4971,"South America is in winter when North America is in summer, this is because it is located where?",occident|america|southern hemisphere|far|western hemisphere,2
4972,What is someone with courage in a surprising situation not likely to feel?,fight|shocked|humor|nervous|frightened,4
4973,What is the opposite of to dignify someone?,humiliate|mortify|demean|demean|shame,3
4974,What could stop someone from staying healthy?,live long|sadness|injury|long life|happiness,2
4975,what does skin cover?,body|good health|tent|fruit|people,0
4976,What is a good way for children to learn about dining etiquette?,wrong house|read a book|watch television|sun themselves|set table,4
4977,"She was playing violin with the hope of recording it someday, what did she want to do with her talent?",calluses|playing wrong note|audition|making music|read music,3
4978,What class activity is unlikely to cause boredom?,play cards|surf net|play chess|play games|watch film,4
4979,"The country enjoyed a period of peace, it was brought about by a very what time?",peacework|war|violent|happened|trying,2
4980,Billy is grooming himself in his bedroom because he wanted to be handsome for the dance.  He can't find his comb. He rushes to the store to do what with a comb?,beauty|prepare|positive|get|looking pretty,3
4981,What would you most likely use a blower to remove snow from?,canada|ground|mountains|surface of earth|yukon,1
4982,"The cows were lost in the city and hated the noise, what did they long for?",milk machine|farmyard|countryside|fairgrounds|long horns,2
4983,Where did the two friends party and get drunk before going back to their sorority?,wedding|fraternity house|friend's house|school|bar,1
4984,"If a person saw wings on a helmet, where would they be?",airport|heaven|detroit|flight school|airplane,2
4985,What kind of place is an excavation site?,working ground|quarry|desert|work area|under ground,3
4986,Where is a basement likely to be small?,church|closet|own house|office building|art gallery,2
4987,What does a birthday do to someone?,regret|indoor plumbing|feel special|own house|electricity,2
4988,"Alcohol wasn't allowed at the meeting, so where did the alcoholic put his flask?",science lab|laboratory|coat pocket|the meeting room|chemistry lab,2
4989,When picking an object for a baby something soft is the what option?,harsh|crazy|sensible|abrasive|hard,2
4990,"The business man had a big meeting that day, but his small child had gotten marker all over his fancy leather what?",drawer|desk|briefcase|medium|office supply store,2
4991,I have given up my goal of gaining more land.  Why did I give up?,go to war|pride|higher taxes|more responsibility|not profitable,2
4992,The general decided to take to the only hill overlooking the field of battle that was entirely what?,mountain|flat land|flat ground|won|pit,2
4993,Where would you get a radio if you do not have one?,school|space shuttle|trunk|stalk|shop,4
4994,"Tweed is a fabric I am looking to make clothing with, where should I go to buy some?",clothing stores|scotland|eddie bauer|fabric store|online,3
4995,"The installers had to move all the rows of benches, they were putting in new carpet where?",office|church|bowling alley|building|playround,1
4996,When you express  this emotion you can be hurting someone else?,happiness|punishment|anger|tears|suffering,2
4997,James spent time contemplating what he had learned.  He did this to do what?,often ignored|time to pass|gain insight|play by himself|action,2
4998,What is the reason for having a gardener?,manicure the lawn|garden backyards|water plants|grow plants|pick flowers,3
4999,"If I work in public transportation and find a door with a lock, where am I likely?",bus terminal|train|automobile|file cabinet|house,0
5000,"I love to see an idea become a reality.  In order to accomplish that, I must do what?",think|work hard|do about|study|patent,1
5001,"There is only one soccer field in the area, and people love to play there. Where might the soccer field be?",country|park|town|countryside|near,2
5002,What is it called when a plant opens up in the sunlight?,photosynthesis|bloom|have roots|flower petals|flower in spring time,1
5003,There wasn't enough space.  You need to get a bigger what?,suitcase|box|sentence|house|paragraph,1
5004,"When taking a long walk, where would you store your clothing?",suitcase|department store|purse|mall|backpack,4
5005,What happens to family members after death?,sadness|decomposition|laughter|rebirth|burial,0
5006,John couldn't reach the place he needed to dust.  What couldn't he reach?,coffee shop|fridge|table|library|shelf,4
5007,"Sally was looking for a saltshaker.  She looked where she ate, and it wasn't there. She looked in storage, and it wasn't there.   She searched every corner, eventually she found it wedged beside a counter.   Where did she find the saltshaker?",own kitchen|denny's restaurant|dinner table|kitchen cupboard|cabinet,0
5008,When buying something you gain that item but you also what?,using money|feel better|go broke|steal|losing money,4
5009,What would happen after you finished dying?,rigor mortis|unable to work|change color|change of color|would cease to exist,4
5010,"She began to play violin at a young age, she had a passion to do what?",inspiring|like music|be musician|make music|tune,3
5011,"When the man needed storage for his personal belongings, what did he look to rent?",building|dumpster|attic|warehouse|michigan,0
5012,What kind of activity is making bread?,pride|mess|gratifying|allergic reactions|adept,2
5013,What will an athlete do to warm up their legs?,use heater|sprint|jog|run fast|compete,2
5014,Where is a bee naturally found?,alone|story book|herb garden|great outdoors|sky,3
5015,How can you achieve happiness in a group?,sing|live life|play games|fiddle|jump up and down,2
5016,where do you throw garbage?,outside|television|ground|landfill|trashcan,4
5017,What do most people do when they need to relax?,eat whales for breakfast|listen to music|have friends|hug|eat trash,1
5018,"Gill went forth for some time.   Because hie forgot something, he put the car in what?",straightforth|reverse|backwards|back and|race,1
5019,A person might wear his yarmulke when going to where?,demonstration|concert|garage|bus stop|synagogue,4
5020,"Suzan is fiddling while Johnny, Jerry, and the rest are having some wild fun with not particular rhyme or pattern.  What might they be doing?",shuffle|dancing about|troubles|square dancing|discovery,1
5021,Where is a front yard likely to be small?,suburb|gardening|slip and slides|grass|neighborhood,0
5022,News and reality shows are examples of programs that are not works of what?,fiction|old information|fun|documentary|propaganda,0
5023,"He was applying for a job, what did he promise to do when he spoke with the manager?",frustration|working hard|over time|stress|employment,1
5024,What could happen to you if you are cleaning house for only a short time?,exhaustion|tiredness|sneezing|order|make money,2
5025,People have many different emotions during the day we also call these this?,brains|feelings|brown hair|drug problem|radio,1
5026,What do dead trees often do?,wall in|produce fruit|fall down|branch out|die,2
5027,What do children often do before bed?,play games|push ups|play with toys|hear stories|throw things,3
5028,What might happen to someone not used to jogging?,better fitness|exhaustion|shortness of breath|lose weight|blisters,2
5029,Where would glasses be needed by many people?,cabinet|meeting|office|cupboard|home,1
5030,"The drought was dangerous for the trees, they were more likely to what?",wall in|grow tall|fire|covered in snow|burn,4
5031,James imagined what he wanted and his mind did what?,form images|tended|hatred|play tricks on|form thought,0
5032,Jimmy and Tim like playing together.  When they play for a long time they have to stop because they do what?,feeling happy|get hungry|learning|grow up|injury,1
5033,What type of apples do people prefer?,good to eat|crisp|grocery store|good for|farm,1
5034,"He used his hands to mold the clay, what was hoping to make his clay more like?",cup chin|hard|articulate|sign language|cup water,2
5035,"Many in the flock often forget the most basic tenants, a big one being that on god can what?",anything|everywhere|judge men|give peace|help people,2
5036,Where would you get a ball if you do not have one?,bowling alley|soccer field|sporting event|sporting goods store|cuddle,3
5037,How do most people communicate?,dance together|speak words|fight|own cars|believe in god,1
5038,What does someone who has a greed for energy do?,cause businesses to grow|get|lie|buy food|win,3
5039,"What can sitting in a room, waiting for an appointment lead to?",impatience|have fun|boredom|giving birth to frogs|wisdom,2
5040,"This is one of many places where you're unlikely to find a sloth, and it may be illegal to keep one here. What is this?",basement|universe|bedroom|tropical jungle|amazonia,0
5041,Where can you get gasoline?,power mower|boat|refineries|gas station|oil rig,3
5042,"The storm was surprising, where didn't it show up for meteorologists?",train|tropical seas|weather report|america|caribbean,2
5043,The teacher didn't just want the answer and work shown but also for the students to what?,prepare dinner|evaluate progress|include examples|work in school|prove their point,2
5044,What might a homeowner feel when their house is going to market?,that you|walking|stress|spending money|relax,2
5045,What does a baby do before it can talk?,boy or girl|learn to speak|talk nonsense|begin to talk|ride the bike,1
5046,"There were so many guests for Thanksgiving, where did the host put the extra table?",hall|kitchen|neighbor's house|card room|livingroom,4
5047,"The older gentlemen enjoyed socializing over a chess board, on clear warm days he did this at the local what?",retirement community|pool|cabinet|park|library,3
5048,He had to take oath that he would be what?,truthful|not fib|not lie|sense of duty|think,0
5049,"After buying products, reading the manual enables what?",understand details|being able to use|loss of money|economic boom|spending money,1
5050,"The narrator explained the behaviors of the gazelle, sitting on the couch he was enjoying the what?",window|television program|open plain|great outdoors|eastern hemisphere,1
5051,Using your hands to communicate is how you do what?,sign language|soft|cup water|articulate|throw lasers,0
5052,What group may be one of the few where playing the bugle has a big role?,trumpet|military base|military band|american army|music store,2
5053,What did Einstein determine that energy is made of?,weakness|play sports|entropy|mass|matter,3
5054,Whether it's livestock or produce a farmer does what?,produce food|raise crops|can produce|grow corn|plant seeds,0
5055,How do people become a couple forever?,row about|combination|marry each other|make sex|communicate,2
5056,What is probably not built out of a wooden rod?,broom|broom closet|old clock|hardware store|old houses,4
5057,Victoria is the capital of what canadian province?,british columbia|seychelles|texas|zimbabwe|zambia,0
5058,What could happen when beginning work after it is too late?,panic|deadlines|accomplishing|momentum|sitting down,0
5059,"I love crab, but I don't get much where I live in rural where?",outside|alabama|virginia|cape cod|fish market,2
5060,Where can someone watch a show from a balcony?,theater|opera house|concert|new orleans|michigan,0
5061,"The child was curious about something, what did he do?",grow up|become adult|ask questions|play games|acting out,2
5062,"The couple woke up to good weather finally, the rain had ruined the vacation so far but today they would what?",climb|play frisbee|travel|hike|go somewhere,4
5063,What do you do on a stove to prepare meat?,use gas fire|warm room|gas or electric|brown meat|warm pot of beans,3
5064,Part of child development is when he/she stops imitating and following and begins to do what on their own?,grow up|form opinions|become adult|set table|gather flowers,1
5065,James went across the street for food because his was contaminated. Where might he have gone?,neighbor's house|garage|table|military base|fairgrounds,0
5066,The oven was left open after turning off to do what?,roast|baking food|cool temperature|heat|bake,2
5067,What will the student have to do on the test?,finish college|begin teaching|write|answer question|solve equation,4
5068,Steve was surprised to find an underground map while he was shopping and carrots and paperback books.  Where might he have found it?,subway station|library|super market|county engineer's office|a friend,2
5069,"The person went to the ticket booth to buy a trip, they now had to wait for the rails to signal the arrival or their ride at the what?",auditorium|fairgrounds|airport|metro station|amusement park,3
5070,What has a cash register with a limited items line?,bookstore|supermarket|toy store|candy store|shop,1
5071,The travelers came across many a toll road during their road drip through New England and other parts of where?,connecticut|eastern united states|florida|new york|sea,1
5072,Where should we move this furniture?,store|rug|room|friend's house|online,2
5073,What is the main ingredient in any soup?,soup|ocean|puddle|chicken|glass,0
5074,What was causing my knees to hurt after going jogging?,lose weight|feel better|arthritis|sweating|pressure,2
5075,What could happen if a band is not very good?,play music|include drummer|record album|blaring|encore,3
5076,"The best place for the troublemaker to sneak a smoke while he was in where, was in the bathroom?",playground|school|at hotel|theater|convenience store,1
5077,Where do you see signs that state a point of view?,freeway|demonstration|state park|store|corner of two streets,1
5078,"I communicate in hopes someone is within earshot, what do I want them to do?",think|see work|speak out|listen|talk to people,3
5079,Why might someone not get things they need?,cost money|fall apart|be demanding|happen to|go wrong,0
5080,What would something be if it is not bad but not too good?,excellent|outstanding|exceptional|superior|sufficient,4
5081,What do people in the art industry work hard to do?,earn money|make decisions|have imagination|create|produce goods,3
5082,James took his time walking home.  He found himself doing what at every place along the way?,stopping|standing still|stay still|stand still|dancing,0
5083,Billy was at an hold wood and stone cabin.   He found potatoes growing through the floorboards.  Where might the potato plants be?,root cellar|underground cellar|pantry|casserole|restaurants,0
5084,Several train terminals linked together is an example of what?,station|electrical device|battery|initial|transportation system,4
5085,Where would a captain be on the sea?,military|bridge of ship|battleship|basketball team|cruise ship,2
5086,Hurting someone else is not an acceptable way to express what?,feel sad|anger|happiness|arrested|suffering,1
5087,WHere do you store dry food?,shelf|supermarket|military base|neighbor's house|in the garage,0
5088,"Things were getting hot and heavy, one of them got a contraceptive from the what of the nightstand?",condom|drug store|health center|vagina|drawer,4
5089,"The human was cold and just needed to step inside quickly, what did he look for?",nearest house|school|warm place|surface of earth|office block,0
5090,"The old man had a bad back, what did doing housework do to him?",allergies|boredom|pride|pain and suffering|cleanliness,3
5091,Everyone in John's band plays brass instruments.  What type of band might it be?,annoy mom|jazz band|brass band|punk rock|marching band,2
5092,In smaller whats are there less needs a bus stop?,urban area|busy|airport|boarding bus|towns,4
5093,Where would you go to buy a harp?,michigan|concert hall|irish bar|create music|music shop,4
5094,what do scientists want to identify when they discover a new animal?,human|conduct experiment|specific|if they are nice|plant,2
5095,From where would you expect to pick up a rock?,bridge|mountain range|mountains|ground|forest,3
5096,"The tourists spent all day seeing the landmarks, they started at a subway station on upper west side of where?",toronto|manhattan|san jose|large city|city underground,1
5097,"Lindy is building a new factory. He wants to minimize the taxes he pays, so he's looking to build in what sort of place?",europe|industrial complex|workers|russia|free trade zones,4
5098,Where might a traveler keep their comb?,shoe|pocket|suitcase|barber shop|medicine cabinet,2
5099,Where might a teacher share her books?,cabinet|classroom|shelf|bookbag|desktop,1
5100,"Items such as medicine, cars, or grain transported on a train is called what?",fight disease|lower cholesterol|cargo|measurements|lower blood pressure,2
5101,What is it called when teens are together not doing anything in particular?,smoke|homework|volunteer|party|hang out,4
5102,"Using television to broadcast the same shows to everyone, you can potentially increase what?",innovation|visual|falling asleep|entertained|conformity,4
5103,Where is required to have a single fire extinguisher?,house|boat|washroom|stairwell|hospital,1
5104,Where is there likely a lot of lint?,pocket|purse|rug|laundromat|beach,3
5105,"The place was special to them, you couldn't find it on just any what?",map|device|area|almost anywhere|location,0
5106,What happens after making friends with someone of the opposite sex?,falling in love|smile|talking|shake hands|punch in the face,0
5107,"If you're caught committing murder, an injection can lead to your own what?",own death|die|great sorrow|fear|banquet,0
5108,"She was on a diet, resisting the indulgent chocolates would be what?",difficult|harsh|hard|severe|strict,2
5109,What are you supposed to be setting cup on a table?,coaster|skill|hands|chair|careful,0
5110,"The big man was all size and no talent, but the coach taught him to defend the key and make it his home on the what?",action|florida|basketball court|pocket|purse,2
5111,This animal with sharp teeth does what for dinner?,buffalo|fight for life|leave home|hunt for food|eating,3
5112,If a person needs food from a dairy what should they do?,promise to do|go to a store|step forward|milk cow|need food,3
5113,Eating to much will lead to what kind of pain?,food|getting full|full stomach|full belly|stomach aches,4
5114,Where do kids like to hang out to watch tv and avoid their parents in the house?,basement|kitchen|rooms|den|yard,0
5115,A drab olive drawstring bag is where someone in the what would keep their belongings?,safe|military|airport|runway|department store,1
5116,"The squirrel was rather plump, it had found a home that leaves out what?",food|chipmunk|rodent|nuts|rabbit,3
5117,What kind of building would you expect to find a skylight?,roof|house|windowless room|company|office building,1
5118,"The pacific northwest is a beautiful region, especially just below the northern border in where?",oregon|united states|washington|idaho|british columbia,2
5119,What is the first thing someone does before planning to stay in bed?,bedsores|lay down|bed sores|sleep in|open the curtain,1
5120,"Bo wanted to put on his clean clothes, but that would have required doing what to his dirty ones?",get dirty|organize|sort|take off|soap,3
5121,What noise can you make while having lunch that does not indicate you might die soon?,eat food|drink water|burp|choke|vomit,2
5122,"When Bill goes out the door and look up, what does he find outside?",nature|sun|rain|sky|ground,3
5123,Where would you be landing if you jumped out of a cruise ship?,marina|airport|stairwell|island|ocean,4
5124,Where would you store potato chips in their home?,supermarket|toilet|pantry|bar|motherboard,2
5125,If a person is complimentary and making trivial physical contact what are they trying to do?,get laid|acknowledgment|accomplish goals|marry|talk about themselves,0
5126,Where should you keep your mustard after it's been opened?,jar|hot dog|hamburger|fast food restaurant|refrigerator,4
5127,People used to write with a quill dipped in ink that was made from what part of a bird?,feather|peacock|porcupine|hedgehog|calligraphy,0
5128,"As one side made advances on the other it seemed it would soon be over, the losers were doomed because not everyone gets to celebrate what?",understood|pleasure|happy|happiness|victory in war,4
5129,Where are you likely to find a bald eagle on a floating bridge?,pacific northwest|river|canada|northern california|washington state,0
5130,Where always has a large amount of trash that only grows?,dumpster|detroit|garbage dump|state park|subway,2
5131,"The engineer put the new invention on the table in front of his bosses, he turned on his microphone and began his what of the product?",stage|demonstration|record sound|parade|conference,1
5132,"Like the saying about snowflakes, every person is unique and what?",have no home|open sores|enjoy|different|anxiety,3
5133,Billy was a bee.  He lived where bees live.  Where did he live?,michigan|apiary|orchard|bee hive|united states,1
5134,What are you about to do if you're standing in line for food?,wait turn|pay|frustration|pain|order,4
5135,Most dentist offices are found in what groups of homes and businesses?,street|suburb|city|hospital|town,2
5136,"Bobby had a toothache so he went to the closet dentist office, which was in a strange place.  Where might it be?",town|office building|patient|medical center|candy shop,1
5137,The company didn't have any local stores.  How did they sell things?,ship goods|mail order|own resources|peddled|branch out,1
5138,John thought that it was a mistake to pick A.  He meant to choose B put picked A by accident. He was relieved when he learned that A was what?,on purpose|correction|good|correct answer|success,3
5139,What is a social benefit of going to party?,getting drunk|food|plan|having fun|meeting new people,4
5140,People gather where to watch large four-legged animals run?,populated areas|opera|race track|roadblock|at the foot path,2
5141,Where do you buy tickets to a show?,stadium|home|auditorium|arena|opera house,2
5142,What is the hope of going fishing?,getting food|wet clothes|getting drunk|catching fish|wetness,3
5143,What is likely to run high when two people are competing against each other?,pride|frustration|emotions|encouraging|tensions,2
5144,"The spring was warming up, what did this cause life to do?",die|hibernate|last 100 years|spring forth|cause death,3
5145,What is someone not bad at their work likely to be?,competent|beneficial|ugly|excellent|profitable,0
5146,Subway stations are generally found in a?,large city|london|big city|toronto|chicago,2
5147,Why might someone go to an office building?,advertising company|project|new york|city|work,4
5148,What would you be doing if you are pretending to be a cop or robber?,distrust|deception|fooled|play|tag,3
5149,"Despite doctor's orders, she ate breakfast in bed, what did she feel?",happiness|feel guilty|weight gain|spills|indigestion,4
5150,Where do you store cold food?,disneyland|refrigerators|shop|obesity|table,1
5151,"Danny was studying statistics in class, and he something disturbing about driving.   It causes a significant number of what?",deaths|moving|car wrecks|using gas|may die,0
5152,Where do you visit a dentist?,fair|phone book|city|dental office|las vegas,3
5153,What's something bad that is done to people that does not help them?,ignore|hinder|giving trouble|do nothing|hurting,4
5154,"The flooring was a good bargain, you got a bigger discount the bigger the what?",bundle|loft|charming|home depot|house,0
5155,What can someone do to end relaxing?,feeling better|invigorating|sleeping|stress|deep breathing,1
5156,Where does something get weighed on a scale in order to determine a price?,music store|bathroom|post office|craft store|doctor's office,2
5157,Where can one find a wide variety of chocolate?,candy store|box|drug store|movies|christmas stocking,0
5158,Where can I go to take classes on playing an upright piano?,college|living room|house|band|music room,0
5159,"If someone is fiddling at a hoedown, how do they likely feel?",being happy|frustrated|troubles|discovery|unpredictable,0
5160,"His dryer was on the fritz and not drying clothes all they, so he pointed an electric fan at his clothes after he hung up in the what?",dining room|home|hardware store|closet|computer,3
5161,Why does a person find a routine odd when things go astray?,unexpected|habitual|even|expected|common,1
5162,"I go on a lot of vacations, what does that make me?",vacate|vacationgoer|include cruise|racecation|traveler,1
5163,"If you're driving to catch a flight connection, what is the fasted road to take?",secret passageway|airport|computer network|freeway|wires,3
5164,Where would you play frisbee after enjoying some hot dogs?,the house.|disneyland|bowling alley|park|sporting event,3
5165,Gold collected by people with peg legs and parrots was stored where?,ring|jewelry store|treasure chest|fort knox|church,2
5166,He had to fake reading because he was what?,illiteracy|watching tv|acculturation|at grade level|illiterate,4
5167,Where does someone go to step on a scale annually?,doctor's office|music store|bathroom|post office|fish hatchery,0
5168,"The home school's team was playing basketball, ever score brought what from the crowd?",sweating|have fun|cheers|dancing|pain,2
5169,what does a person who is a parent want?,healthy children|a car|treated with respect|easy life|own house,0
5170,"George couldn't move without being killed, so he put in effort to do what?",not die|lay still|stationary|staying put|be still,4
5171,"The shower obviously wasn't in the living room of the home, where was it?",spa|at hotel|motel room|bath room|locker room,3
5172,What is the opposite of pain?,feeling good|enjoyment|agony|pleasure|feel good,3
5173,Where do passengers typically wait?,vehicle|bus depot|bus|car|train station,4
5174,"A person woke up in bed.  Their spouse was sleeping beside them.  They rolled over, did something, and stood.  What did they do before standing?",put on shoes|sit up|thank god|say love|converse,1
5175,"John had a lot of free time.  He didn't enjoy television much but had no one to interact with, so he'd spend his free time doing what?",watch film|play cards|surf net|talking on the phone|see favorite show,0
5176,Humans tend to have what round things that dart around?,two arms|live forever|two eyes|lay eggs|ten fingers,2
5177,What are you contemplating taking when you need to get something done?,revelations|thinking|understanding|action|discovery,3
5178,Where do you buy a cheap book?,desk|grocery shop|house|antique store|discount store,4
5179,"Breathing was difficult after the injury, but he was still able to what with it?",choke|give up|live|sigh|cough,2
5180,"She found the housing option in the midwest were plain, where should she look for houses for less plain architecture?",landscape|azawakh|middle america|georgia|countryside,3
5181,"If grass is given plenty of water and light, what will it do?",burn|changes color with seasons|turn brown|continue to grow|eat water,3
5182,Where can you often find many soldiers?,armored car|battlefield|war zone|tavern|white house,1
5183,If you believe something but then you begin getting and understanding new information you may come to a what?,disappointment|new realization|heat wave|joy|wanting more,1
5184,"Joe didn't remember to tell Marsha something important before she left home, so he spent an hour desperately doing what?",problems|writing down|being prepared|phoning|panicking,3
5185,"He likes to keep all his equipment out back in it, so where is his saw?",garage|tool kit|toolbox|tool shed|hardware store,3
5186,"When someone does not want something, they are said to do what to it?",reject|annoy|refuse|stockpile|detest,2
5187,Lisa was driving down the highway when she saw a billboard telling her that she was near the border.  Where might she be?,street|in the usa|texas|every city|countryside,2
5188,Where would you expect to find a doctor on his day off?,golf course|medical school|emergency room|nursing home|relaxing,0
5189,Where are you likely to find an injured soldier?,helicopter|war zone|armored car|white house|battlefield,1
5190,What is a yard usually part of?,subdivision|neighborhood|file|city|property,4
5191,What are built up areas near the highway called?,subways|desert|mexico|atlas|developed land,4
5192,A material that is elastic is able to do what?,rebound|underwear|recoil|stretch|bounce,3
5193,When do you get out of a bed?,footbed|during the day|awake|sleep|floor,2
5194,"This ice in my mouth is cold, what should i do with it?",light fire|stay in bed|opposite of hot|scream|spit,4
5195,"The inspector judged it to be a copy, it was not a what of the original artist?",creation|hatred|paste|soft copy|unique,0
5196,"Sometimes the garbage men are sloppy, the garbage waste seems to miss the truck and end up in the where?",street|sewer|landfile will not use for garbage|landfile|garbage dump,0
5197,How might someone feel if they were committing perjury?,embarrassment indictment|tension|going to jail|penalty|mistrial,1
5198,"If a teacher wants to punish a student by not allowing them to go to recess, what are they doing to them?",restrict freedom|showing mercy|send to room|deny|put in jail,3
5199,Where is the best place to get a bicycle for a child?,toy store|fun|street|university|garage,0
5200,Where is the great white shark most commonly located?,indian ocean|gulf of mexico|pacific ocean|atlantic ocean|sea world,2
5201,If you're going to a party held at work you are there to make what?,having fun|new contacts|meet new people|making new friends|doing drugs,1
5202,"If a man needs a shave he'd go to the bathroom, then maybe get the disposable razor out of where?",medicine cabinet|travel bag|supermarket|closet|garbage,0
5203,Where do tourists go to see princesses in America?,waterfall|shopping mall|beach|disneyland|state park,3
5204,Curiosity lead James to put extra effort into doing what at the fair?,see exhibits|design software|read book|use television|eating dinner,0
5205,"He read book after book, he always liked to do what things?",travel new places|learn new|learn to read|enjoyable|bored,1
5206,Why does this person stop and look both ways at a railroad crossing?,gain weight|promise to do|fear death|cross street|laws,2
5207,Where are cars likely to move quickly?,car dealership|car show|superb|parking lot|freeway,4
5208,"They were planning a surprise party, a car pulled up and they started to do what the guest of honor?",send flowers|sneaky|singing|hide from|hiding,3
5209,What do you give people when they meet people?,introduce yourself|greeting|look over|friendly|high five,1
5210,Where could you find super computers?,library|post office|university|technical store|large city,2
5211,What are birds likely to do in the winter?,learn to fly|spread wings|fly north|fly high|head south,4
5212,What is procreating too much likely to lead to?,having children|feeling good|food shortage|exhaustion|overpopulation,4
5213,Sarah loves giving assistance.  She doesn't ask for anything in returned.  What does Sarah probably care about most?,her hair|better circumstances|people helped|learning new skills|happiness,2
5214,Sarah didn't like driving cars.   The traffic gave her a lot of what?,car crash|stress|death|happiness|transportation,1
5215,"If a coup-de-etat happens with hopes of changing society, what is called for?",happiness for|new laws|protest|change in leadership|cultural revolution,4
5216,"The woman spent a lot of time drinking alcohol, what did doctors advise her not to do?",licking on floor|frequent urination|throwing up|get pregnant|toxicity,3
5217,Two people were hanging around the quick stop.  They were getting hungry.    What might have they been doing?,eat eggs|smoke pot|believe in god|make tools|writing,1
5218,After I urinate what should I do before I eat?,eat|wash legs|wash hands|zip pants|flush toilet,2
5219,"The whole area was larger than just the baseball stadium, it was an entire what?",peanut|major city|large city|urban areas|sports complex,4
5220,What will happen if you're caught killing people?,terrible|go to prison|getting in trouble|screams|mass hysteria,1
5221,"While he golfed she got a spa treatment, they were glad they became members where?",health centre|resort|country club|house|golf club,2
5222,Why might someone purposefully be going into trance?,meditation|nothing|confused|epilepsy|meditate,0
5223,Where is quiet conversation likely to take place?,friend's house|party|dinner|stadium|water cooler,2
5224,Which state is the blue ridge mountains roanoke city in?,appalachians|north carolina|virginia|pennsylvania|montana,2
5225,What covers the largest percentage of the pacific northwest?,united states|united states|washington|oregon|british columbia,1
5226,To deal with sadness many people will do what on their iPhone?,cry|listen to music|tragic film|take phone call|get drunk,1
5227,"Billy tried to arise, but he could not stand from bed. He continued to do what?",fall down|lie flat|get down|lay down|sitting down,3
5228,What is the definition of cogitating?,sit comfortably|think about things|might understand|enjoy|brain work,1
5229,What does a person miss when a tree hits power lines?,indoor plumbing|feel special|electricity|headache|forest,2
5230,"It isn't always a good thing, sometimes cats do what because they're nervous?",growl|drink water|claw|think|purr,4
5231,Where would a lawyer look to find a rule  they are governed by?,football game|hunger games|family situation|text book|lawbook,4
5232,What does a person do when he or she shows excitement?,library|express information|music festival|dance|go somewhere,1
5233,Having lunch too many times can result in what?,you die|obesity|feeling satisfied|feel full|digestion,1
5234,What are beans typically used to make in a drink?,cooking|coffee|food store|cooking pot|boiling,1
5235,"If there is a pond with nobody nearby, where is it likely located?",rural area|meadow|forest side|countryside|forest,3
5236,If I were to stand up and put my leg in front of the other leg repeatedly I would do what?,legs ached|have to say|move around|start walking|fall down,3
5237,James was traveling abroad for a few weeks and he had trouble finding his double edged razor. He eventually found it together with some cream and a small comb.  What did he find it in?,medicine cabinet|shower|shaving kit|first aid kit|the breadbox,2
5238,What may a person want to buy at a carnival for a sweet treat?,own house|cotton candy|kitchen|english house|meaningful work,1
